
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
473.23,um,Surface,Distance from Origin,1,0,
428.147,um,Surface,Distance from Origin,1,1,
419.143,um,Surface,Distance from Origin,1,2,
399.473,um,Surface,Distance from Origin,1,3,
391.04,um,Surface,Distance from Origin,1,4,
383.451,um,Surface,Distance from Origin,1,5,
356.904,um,Surface,Distance from Origin,1,6,
344.462,um,Surface,Distance from Origin,1,7,
342.994,um,Surface,Distance from Origin,1,8,
326.147,um,Surface,Distance from Origin,1,9,
346.771,um,Surface,Distance from Origin,1,10,
298.804,um,Surface,Distance from Origin,1,11,
334.719,um,Surface,Distance from Origin,1,12,
335.84,um,Surface,Distance from Origin,1,13,
282.856,um,Surface,Distance from Origin,1,14,
263.642,um,Surface,Distance from Origin,1,15,
295.617,um,Surface,Distance from Origin,1,16,
237.948,um,Surface,Distance from Origin,1,17,
284.722,um,Surface,Distance from Origin,1,18,
209.993,um,Surface,Distance from Origin,1,19,
239.5,um,Surface,Distance from Origin,1,20,
183.116,um,Surface,Distance from Origin,1,21,
202.799,um,Surface,Distance from Origin,1,22,
174.546,um,Surface,Distance from Origin,1,23,
223.289,um,Surface,Distance from Origin,1,24,
136.809,um,Surface,Distance from Origin,1,25,
130.679,um,Surface,Distance from Origin,1,26,
57.4811,um,Surface,Distance from Origin,1,27,
