
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.387289,,Surface,1,0,
0.723265,,Surface,1,1,
0.563044,,Surface,1,2,
0.460274,,Surface,1,3,
0.565651,,Surface,1,4,
0.664359,,Surface,1,5,
0.341896,,Surface,1,6,
0.609007,,Surface,1,7,
0.821362,,Surface,1,8,
0.350231,,Surface,1,9,
0.616223,,Surface,1,10,
0.558994,,Surface,1,11,
0.482103,,Surface,1,12,
0.846179,,Surface,1,13,
0.697012,,Surface,1,14,
0.582718,,Surface,1,15,
0.663954,,Surface,1,16,
0.387569,,Surface,1,17,
0.729711,,Surface,1,18,
0.410112,,Surface,1,19,
0.653459,,Surface,1,20,
0.7369,,Surface,1,21,
0.595672,,Surface,1,22,
0.504392,,Surface,1,23,
0.510621,,Surface,1,24,
0.833715,,Surface,1,25,
0.409487,,Surface,1,26,
0.852559,,Surface,1,27,
