
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.188083,,Surface,1,0,
0.170492,,Surface,1,1,
0.289744,,Surface,1,2,
0.337517,,Surface,1,3,
0.277309,,Surface,1,4,
0.145661,,Surface,1,5,
0.342999,,Surface,1,6,
0.257818,,Surface,1,7,
0.110883,,Surface,1,8,
0.410826,,Surface,1,9,
0.225886,,Surface,1,10,
0.192349,,Surface,1,11,
0.269517,,Surface,1,12,
0.0490866,,Surface,1,13,
0.101245,,Surface,1,14,
0.176729,,Surface,1,15,
0.208251,,Surface,1,16,
0.489831,,Surface,1,17,
0.0388119,,Surface,1,18,
0.227278,,Surface,1,19,
0.199524,,Surface,1,20,
0.150038,,Surface,1,21,
0.220647,,Surface,1,22,
0.347709,,Surface,1,23,
0.133301,,Surface,1,24,
0.076106,,Surface,1,25,
0.189417,,Surface,1,26,
0.0596301,,Surface,1,27,
