
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.46816,,Surface,1,0,
0.475711,,Surface,1,1,
0.678911,,Surface,1,2,
0.644644,,Surface,1,3,
0.554209,,Surface,1,4,
0.60345,,Surface,1,5,
0.513059,,Surface,1,6,
0.518111,,Surface,1,7,
0.451322,,Surface,1,8,
0.425604,,Surface,1,9,
0.340969,,Surface,1,10,
0.576459,,Surface,1,11,
0.558222,,Surface,1,12,
0.325416,,Surface,1,13,
0.297717,,Surface,1,14,
0.454165,,Surface,1,15,
0.431915,,Surface,1,16,
0.716226,,Surface,1,17,
0.323084,,Surface,1,18,
0.400385,,Surface,1,19,
0.561203,,Surface,1,20,
0.52907,,Surface,1,21,
0.520505,,Surface,1,22,
0.590379,,Surface,1,23,
0.358882,,Surface,1,24,
0.351794,,Surface,1,25,
0.305394,,Surface,1,26,
0.279806,,Surface,1,27,
