
Area
 ==================== 
Area,Unit,Category,Time,ID,
1551.53,um^2,Surface,1,0,
1636.45,um^2,Surface,1,1,
1325.29,um^2,Surface,1,2,
1035.19,um^2,Surface,1,3,
947.205,um^2,Surface,1,4,
910.445,um^2,Surface,1,5,
1117.64,um^2,Surface,1,6,
2631.15,um^2,Surface,1,7,
3385.32,um^2,Surface,1,8,
1861.56,um^2,Surface,1,9,
7337.13,um^2,Surface,1,10,
1114.14,um^2,Surface,1,11,
1386.01,um^2,Surface,1,12,
12180.8,um^2,Surface,1,13,
15939.1,um^2,Surface,1,14,
5714.46,um^2,Surface,1,15,
6820.56,um^2,Surface,1,16,
1013.85,um^2,Surface,1,17,
11341.3,um^2,Surface,1,18,
3722.05,um^2,Surface,1,19,
3821.75,um^2,Surface,1,20,
1245.87,um^2,Surface,1,21,
2091.21,um^2,Surface,1,22,
1633.08,um^2,Surface,1,23,
8934.44,um^2,Surface,1,24,
7246.13,um^2,Surface,1,25,
3039.44,um^2,Surface,1,26,
16089.4,um^2,Surface,1,27,
