
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
34,,Surface,2,Image 1,1,0,
30,,Surface,2,Image 1,1,1,
61,,Surface,2,Image 1,1,2,
103,,Surface,2,Image 1,1,3,
22,,Surface,2,Image 1,1,4,
47,,Surface,2,Image 1,1,5,
56,,Surface,2,Image 1,1,6,
88,,Surface,2,Image 1,1,7,
121,,Surface,2,Image 1,1,8,
85,,Surface,2,Image 1,1,9,
26,,Surface,2,Image 1,1,10,
41,,Surface,2,Image 1,1,11,
61,,Surface,2,Image 1,1,12,
68,,Surface,2,Image 1,1,13,
57,,Surface,2,Image 1,1,14,
