
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
27.4319,um,Surface,Image 1,1,1,
6.03891,um,Surface,Image 1,1,2,
62.7147,um,Surface,Image 1,1,3,
100.511,um,Surface,Image 1,1,4,
39.3683,um,Surface,Image 1,1,5,
58.1099,um,Surface,Image 1,1,6,
123.155,um,Surface,Image 1,1,7,
96.8809,um,Surface,Image 1,1,8,
0,um,Surface,Image 1,1,9,
130.332,um,Surface,Image 1,1,10,
30.9977,um,Surface,Image 1,1,11,
156.127,um,Surface,Image 1,1,12,
43.8637,um,Surface,Image 1,1,13,
95.4372,um,Surface,Image 1,1,14,
83.1571,um,Surface,Image 1,1,15,
8.05661,um,Surface,Image 1,1,16,
19.5775,um,Surface,Image 1,1,17,
16.8808,um,Surface,Image 1,1,18,
55.2697,um,Surface,Image 1,1,19,
16.7193,um,Surface,Image 1,1,20,
