
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.300403,,Surface,1,0,
0.708452,,Surface,1,1,
0.464743,,Surface,1,2,
0.570917,,Surface,1,3,
0.746552,,Surface,1,4,
0.595898,,Surface,1,5,
0.422306,,Surface,1,6,
0.490704,,Surface,1,7,
0.563933,,Surface,1,8,
0.378832,,Surface,1,9,
0.738892,,Surface,1,10,
0.569999,,Surface,1,11,
0.847042,,Surface,1,12,
0.444396,,Surface,1,13,
0.742248,,Surface,1,14,
0.805269,,Surface,1,15,
0.393398,,Surface,1,16,
0.789725,,Surface,1,17,
0.846879,,Surface,1,18,
0.559931,,Surface,1,19,
0.487972,,Surface,1,20,
