
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7.71e+07,,Surface,6,Image 1,1,0,
3.23749e+07,,Surface,6,Image 1,1,1,
3.05332e+07,,Surface,6,Image 1,1,2,
7.93065e+07,,Surface,6,Image 1,1,3,
1.95228e+07,,Surface,6,Image 1,1,4,
2.77088e+07,,Surface,6,Image 1,1,5,
1.67787e+07,,Surface,6,Image 1,1,6,
3.92621e+07,,Surface,6,Image 1,1,7,
2.33659e+07,,Surface,6,Image 1,1,8,
1.20116e+08,,Surface,6,Image 1,1,9,
3.70629e+07,,Surface,6,Image 1,1,10,
7.97338e+07,,Surface,6,Image 1,1,11,
2.12741e+07,,Surface,6,Image 1,1,12,
2.8933e+07,,Surface,6,Image 1,1,13,
1.40063e+08,,Surface,6,Image 1,1,14,
3.13625e+08,,Surface,6,Image 1,1,15,
5.66752e+07,,Surface,6,Image 1,1,16,
2.28293e+07,,Surface,6,Image 1,1,17,
3.91038e+07,,Surface,6,Image 1,1,18,
6.80727e+07,,Surface,6,Image 1,1,19,
3.37659e+07,,Surface,6,Image 1,1,20,
