
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1006.33,,Surface,2,Image 1,1,0,
1408.86,,Surface,2,Image 1,1,1,
1214.42,,Surface,2,Image 1,1,2,
1111.9,,Surface,2,Image 1,1,3,
1463.52,,Surface,2,Image 1,1,4,
1310.72,,Surface,2,Image 1,1,5,
1180.23,,Surface,2,Image 1,1,6,
1299.05,,Surface,2,Image 1,1,7,
1143.01,,Surface,2,Image 1,1,8,
1009.31,,Surface,2,Image 1,1,9,
1058.68,,Surface,2,Image 1,1,10,
890.542,,Surface,2,Image 1,1,11,
1246.2,,Surface,2,Image 1,1,12,
1200.26,,Surface,2,Image 1,1,13,
1139.88,,Surface,2,Image 1,1,14,
1202.41,,Surface,2,Image 1,1,15,
1147.95,,Surface,2,Image 1,1,16,
930.566,,Surface,2,Image 1,1,17,
1197.73,,Surface,2,Image 1,1,18,
884.909,,Surface,2,Image 1,1,19,
1107.15,,Surface,2,Image 1,1,20,
