
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
295.524,342.829,10.6618,um,Surface,Position,1,0,
329.052,298.699,13.5414,um,Surface,Position,1,1,
301.729,304.224,16.326,um,Surface,Position,1,2,
239.627,324.732,12.8842,um,Surface,Position,1,3,
207.26,345.753,13.5474,um,Surface,Position,1,4,
311.866,202.675,12.5167,um,Surface,Position,1,5,
165.949,326.494,12.1348,um,Surface,Position,1,6,
263.064,266.103,13.1977,um,Surface,Position,1,7,
345.513,112.685,12.7498,um,Surface,Position,1,8,
94.8916,325.52,14.7043,um,Surface,Position,1,9,
302.443,99.4439,15.6281,um,Surface,Position,1,10,
183.06,290.142,12.8571,um,Surface,Position,1,11,
129.48,243.379,13.748,um,Surface,Position,1,12,
90.5702,286.544,18.6193,um,Surface,Position,1,13,
246.542,100.291,12.5881,um,Surface,Position,1,14,
48.7803,315.814,10.6994,um,Surface,Position,1,15,
330.892,27.1397,14.0769,um,Surface,Position,1,16,
44.1464,282.971,18.7037,um,Surface,Position,1,17,
139.046,211.199,13.4372,um,Surface,Position,1,18,
256.77,173.02,15.5786,um,Surface,Position,1,19,
220.773,87.5509,19.2288,um,Surface,Position,1,20,
181.239,114.028,13.787,um,Surface,Position,1,21,
278.152,21.7387,15.1419,um,Surface,Position,1,22,
224.911,37.7605,12.2121,um,Surface,Position,1,23,
229.528,7.54015,18.5304,um,Surface,Position,1,24,
191.436,46.9671,17.5032,um,Surface,Position,1,25,
133.348,150.477,14.018,um,Surface,Position,1,26,
156.904,30.7274,14.6871,um,Surface,Position,1,27,
85.557,56.5696,20.1108,um,Surface,Position,1,28,
103.989,5.28851,15.6232,um,Surface,Position,1,29,
36.1042,102.268,12.4123,um,Surface,Position,1,30,
