
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.489142,,Surface,1,0,
0.825261,,Surface,1,1,
0.337128,,Surface,1,2,
0.462971,,Surface,1,3,
0.313244,,Surface,1,4,
0.790164,,Surface,1,5,
0.701197,,Surface,1,6,
0.361189,,Surface,1,7,
0.553701,,Surface,1,8,
0.33835,,Surface,1,9,
0.40537,,Surface,1,10,
0.261391,,Surface,1,11,
0.599949,,Surface,1,12,
0.249774,,Surface,1,13,
0.68132,,Surface,1,14,
0.611097,,Surface,1,15,
0.74738,,Surface,1,16,
0.614674,,Surface,1,17,
0.169293,,Surface,1,18,
0.798816,,Surface,1,19,
0.464786,,Surface,1,20,
0.549798,,Surface,1,21,
0.300134,,Surface,1,22,
0.164056,,Surface,1,23,
0.432229,,Surface,1,24,
0.605859,,Surface,1,25,
0.639667,,Surface,1,26,
0.845478,,Surface,1,27,
0.435635,,Surface,1,28,
0.128137,,Surface,1,29,
0.704318,,Surface,1,30,
