
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
75,,Surface,2,Image 1,1,0,
55,,Surface,2,Image 1,1,1,
80,,Surface,2,Image 1,1,2,
90,,Surface,2,Image 1,1,3,
48,,Surface,2,Image 1,1,4,
147,,Surface,2,Image 1,1,5,
148,,Surface,2,Image 1,1,6,
60,,Surface,2,Image 1,1,7,
88,,Surface,2,Image 1,1,8,
109,,Surface,2,Image 1,1,9,
128,,Surface,2,Image 1,1,10,
38,,Surface,2,Image 1,1,11,
125,,Surface,2,Image 1,1,12,
31,,Surface,2,Image 1,1,13,
42,,Surface,2,Image 1,1,14,
103,,Surface,2,Image 1,1,15,
23,,Surface,2,Image 1,1,16,
110,,Surface,2,Image 1,1,17,
137,,Surface,2,Image 1,1,18,
10,,Surface,2,Image 1,1,19,
24,,Surface,2,Image 1,1,20,
86,,Surface,2,Image 1,1,21,
22,,Surface,2,Image 1,1,22,
169,,Surface,2,Image 1,1,23,
99,,Surface,2,Image 1,1,24,
39,,Surface,2,Image 1,1,25,
37,,Surface,2,Image 1,1,26,
83,,Surface,2,Image 1,1,27,
28,,Surface,2,Image 1,1,28,
106,,Surface,2,Image 1,1,29,
15,,Surface,2,Image 1,1,30,
