
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
293.71,um,Surface,Distance from Origin,1,0,
262.14,um,Surface,Distance from Origin,1,1,
350.737,um,Surface,Distance from Origin,1,2,
366.701,um,Surface,Distance from Origin,1,3,
322.686,um,Surface,Distance from Origin,1,4,
338.053,um,Surface,Distance from Origin,1,5,
313.412,um,Surface,Distance from Origin,1,6,
141.391,um,Surface,Distance from Origin,1,7,
196.992,um,Surface,Distance from Origin,1,8,
167.446,um,Surface,Distance from Origin,1,9,
