
Intensity StdDev Ch=7 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
16875.1,,Surface,7,Image 1,1,0,
17752.8,,Surface,7,Image 1,1,1,
14637.5,,Surface,7,Image 1,1,2,
12801.2,,Surface,7,Image 1,1,3,
18111.8,,Surface,7,Image 1,1,4,
16510.1,,Surface,7,Image 1,1,5,
19250.4,,Surface,7,Image 1,1,6,
15185.7,,Surface,7,Image 1,1,7,
16790.6,,Surface,7,Image 1,1,8,
16575.9,,Surface,7,Image 1,1,9,
15782.3,,Surface,7,Image 1,1,10,
13571.1,,Surface,7,Image 1,1,11,
16530.9,,Surface,7,Image 1,1,12,
16657.8,,Surface,7,Image 1,1,13,
18911.9,,Surface,7,Image 1,1,14,
14618.1,,Surface,7,Image 1,1,15,
