
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1908.13,,Surface,2,Image 1,1,0,
906.87,,Surface,2,Image 1,1,1,
775.053,,Surface,2,Image 1,1,2,
913.261,,Surface,2,Image 1,1,3,
1488.79,,Surface,2,Image 1,1,4,
1229.75,,Surface,2,Image 1,1,5,
1125.91,,Surface,2,Image 1,1,6,
2752.5,,Surface,2,Image 1,1,7,
1529.84,,Surface,2,Image 1,1,8,
892.566,,Surface,2,Image 1,1,9,
3609.84,,Surface,2,Image 1,1,10,
787.594,,Surface,2,Image 1,1,11,
2813.95,,Surface,2,Image 1,1,12,
2786.44,,Surface,2,Image 1,1,13,
4525.49,,Surface,2,Image 1,1,14,
1001.1,,Surface,2,Image 1,1,15,
