
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
292.587,347.539,16.0959,um,Surface,Position,1,0,
330.569,317.35,16.9642,um,Surface,Position,1,1,
105.993,346.702,23.2623,um,Surface,Position,1,2,
246.39,162.886,14.9372,um,Surface,Position,1,3,
218.736,205.523,20.063,um,Surface,Position,1,4,
218.408,138.82,17.1334,um,Surface,Position,1,5,
287.076,71.9937,15.3862,um,Surface,Position,1,6,
32.8866,305.732,18.8936,um,Surface,Position,1,7,
163.228,163.626,16.3313,um,Surface,Position,1,8,
286.666,28.0273,15.8521,um,Surface,Position,1,9,
27.9867,252.551,18.3929,um,Surface,Position,1,10,
4.65001,251.395,21.0098,um,Surface,Position,1,11,
55.5868,225.464,21.7956,um,Surface,Position,1,12,
97.9427,129.877,23.1801,um,Surface,Position,1,13,
145.921,56.3929,17.2538,um,Surface,Position,1,14,
87.8828,9.76333,15.9431,um,Surface,Position,1,15,
