
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
454.588,um,Surface,Distance from Origin,1,0,
458.557,um,Surface,Distance from Origin,1,1,
363.288,um,Surface,Distance from Origin,1,2,
295.742,um,Surface,Distance from Origin,1,3,
300.812,um,Surface,Distance from Origin,1,4,
259.358,um,Surface,Distance from Origin,1,5,
296.366,um,Surface,Distance from Origin,1,6,
308.076,um,Surface,Distance from Origin,1,7,
231.698,um,Surface,Distance from Origin,1,8,
288.469,um,Surface,Distance from Origin,1,9,
254.762,um,Surface,Distance from Origin,1,10,
252.314,um,Surface,Distance from Origin,1,11,
233.236,um,Surface,Distance from Origin,1,12,
164.311,um,Surface,Distance from Origin,1,13,
157.387,um,Surface,Distance from Origin,1,14,
89.8493,um,Surface,Distance from Origin,1,15,
