
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3411,,Surface,4,Image 1,1,0,
3756,,Surface,4,Image 1,1,1,
4249,,Surface,4,Image 1,1,2,
3652,,Surface,4,Image 1,1,3,
3947,,Surface,4,Image 1,1,4,
3432,,Surface,4,Image 1,1,5,
3863,,Surface,4,Image 1,1,6,
3117,,Surface,4,Image 1,1,7,
3173,,Surface,4,Image 1,1,8,
3235,,Surface,4,Image 1,1,9,
3332,,Surface,4,Image 1,1,10,
3908,,Surface,4,Image 1,1,11,
3761,,Surface,4,Image 1,1,12,
4186,,Surface,4,Image 1,1,13,
3915,,Surface,4,Image 1,1,14,
4300,,Surface,4,Image 1,1,15,
