
Intensity Max Ch=7 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
28629,,Surface,7,Image 1,1,0,
27772,,Surface,7,Image 1,1,1,
65535,,Surface,7,Image 1,1,2,
65535,,Surface,7,Image 1,1,3,
28906,,Surface,7,Image 1,1,4,
15357,,Surface,7,Image 1,1,5,
22311,,Surface,7,Image 1,1,6,
65535,,Surface,7,Image 1,1,7,
41935,,Surface,7,Image 1,1,8,
65535,,Surface,7,Image 1,1,9,
65535,,Surface,7,Image 1,1,10,
49393,,Surface,7,Image 1,1,11,
31163,,Surface,7,Image 1,1,12,
65535,,Surface,7,Image 1,1,13,
65535,,Surface,7,Image 1,1,14,
27403,,Surface,7,Image 1,1,15,
65535,,Surface,7,Image 1,1,16,
65535,,Surface,7,Image 1,1,17,
62940,,Surface,7,Image 1,1,18,
65535,,Surface,7,Image 1,1,19,
63803,,Surface,7,Image 1,1,20,
31575,,Surface,7,Image 1,1,21,
65535,,Surface,7,Image 1,1,22,
22160,,Surface,7,Image 1,1,23,
65535,,Surface,7,Image 1,1,24,
26343,,Surface,7,Image 1,1,25,
26367,,Surface,7,Image 1,1,26,
65535,,Surface,7,Image 1,1,27,
65535,,Surface,7,Image 1,1,28,
65535,,Surface,7,Image 1,1,29,
