
Intensity StdDev Ch=7 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
2334.59,,Surface,7,Image 1,1,0,
2960.82,,Surface,7,Image 1,1,1,
9118.21,,Surface,7,Image 1,1,2,
11497.5,,Surface,7,Image 1,1,3,
3477.55,,Surface,7,Image 1,1,4,
1126.9,,Surface,7,Image 1,1,5,
2151.61,,Surface,7,Image 1,1,6,
12027.9,,Surface,7,Image 1,1,7,
6117.08,,Surface,7,Image 1,1,8,
15589.5,,Surface,7,Image 1,1,9,
10446.8,,Surface,7,Image 1,1,10,
8415.22,,Surface,7,Image 1,1,11,
4764.36,,Surface,7,Image 1,1,12,
13857,,Surface,7,Image 1,1,13,
12059.5,,Surface,7,Image 1,1,14,
2363.95,,Surface,7,Image 1,1,15,
13792.8,,Surface,7,Image 1,1,16,
13145.1,,Surface,7,Image 1,1,17,
10550.1,,Surface,7,Image 1,1,18,
14928.3,,Surface,7,Image 1,1,19,
4904.36,,Surface,7,Image 1,1,20,
2351.56,,Surface,7,Image 1,1,21,
10853.4,,Surface,7,Image 1,1,22,
3609.12,,Surface,7,Image 1,1,23,
10486.7,,Surface,7,Image 1,1,24,
3672.42,,Surface,7,Image 1,1,25,
5263.47,,Surface,7,Image 1,1,26,
13515.2,,Surface,7,Image 1,1,27,
8631.81,,Surface,7,Image 1,1,28,
8735.42,,Surface,7,Image 1,1,29,
