
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.82882e+08,,Surface,2,Image 1,1,0,
7.17399e+07,,Surface,2,Image 1,1,1,
1.47972e+09,,Surface,2,Image 1,1,2,
5.54964e+08,,Surface,2,Image 1,1,3,
1.35518e+08,,Surface,2,Image 1,1,4,
1.35606e+08,,Surface,2,Image 1,1,5,
1.58862e+08,,Surface,2,Image 1,1,6,
3.85098e+08,,Surface,2,Image 1,1,7,
1.093e+08,,Surface,2,Image 1,1,8,
5.49813e+08,,Surface,2,Image 1,1,9,
3.44274e+09,,Surface,2,Image 1,1,10,
9.46717e+07,,Surface,2,Image 1,1,11,
9.12633e+07,,Surface,2,Image 1,1,12,
5.8541e+08,,Surface,2,Image 1,1,13,
1.73616e+08,,Surface,2,Image 1,1,14,
1.28705e+08,,Surface,2,Image 1,1,15,
3.92076e+08,,Surface,2,Image 1,1,16,
1.83531e+09,,Surface,2,Image 1,1,17,
1.22741e+08,,Surface,2,Image 1,1,18,
8.3405e+08,,Surface,2,Image 1,1,19,
2.83851e+08,,Surface,2,Image 1,1,20,
1.70948e+08,,Surface,2,Image 1,1,21,
3.71226e+08,,Surface,2,Image 1,1,22,
1.76364e+08,,Surface,2,Image 1,1,23,
9.23564e+07,,Surface,2,Image 1,1,24,
1.34268e+08,,Surface,2,Image 1,1,25,
2.23676e+08,,Surface,2,Image 1,1,26,
2.15323e+09,,Surface,2,Image 1,1,27,
5.35791e+08,,Surface,2,Image 1,1,28,
4.17898e+08,,Surface,2,Image 1,1,29,
