
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
704.784,,Surface,6,Image 1,1,0,
137.527,,Surface,6,Image 1,1,1,
128.111,,Surface,6,Image 1,1,2,
1264.67,,Surface,6,Image 1,1,3,
1529.83,,Surface,6,Image 1,1,4,
924.697,,Surface,6,Image 1,1,5,
670.514,,Surface,6,Image 1,1,6,
809.294,,Surface,6,Image 1,1,7,
757.343,,Surface,6,Image 1,1,8,
702.547,,Surface,6,Image 1,1,9,
955.018,,Surface,6,Image 1,1,10,
1827.52,,Surface,6,Image 1,1,11,
926.293,,Surface,6,Image 1,1,12,
669.258,,Surface,6,Image 1,1,13,
807.651,,Surface,6,Image 1,1,14,
565.56,,Surface,6,Image 1,1,15,
636.684,,Surface,6,Image 1,1,16,
826.674,,Surface,6,Image 1,1,17,
