
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
13522.2,,Surface,4,Image 1,1,0,
3206.39,,Surface,4,Image 1,1,1,
3829.52,,Surface,4,Image 1,1,2,
17327,,Surface,4,Image 1,1,3,
15168.8,,Surface,4,Image 1,1,4,
19154.8,,Surface,4,Image 1,1,5,
16033.9,,Surface,4,Image 1,1,6,
13477.1,,Surface,4,Image 1,1,7,
16241.2,,Surface,4,Image 1,1,8,
15359.4,,Surface,4,Image 1,1,9,
12624.9,,Surface,4,Image 1,1,10,
11376.5,,Surface,4,Image 1,1,11,
17868.6,,Surface,4,Image 1,1,12,
11988,,Surface,4,Image 1,1,13,
9637.94,,Surface,4,Image 1,1,14,
7872.28,,Surface,4,Image 1,1,15,
17358.3,,Surface,4,Image 1,1,16,
16341,,Surface,4,Image 1,1,17,
