
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.387684,,Surface,1,0,
0.351108,,Surface,1,1,
0.577744,,Surface,1,2,
0.57408,,Surface,1,3,
0.743621,,Surface,1,4,
0.924214,,Surface,1,5,
0.727423,,Surface,1,6,
0.544857,,Surface,1,7,
0.497078,,Surface,1,8,
0.758835,,Surface,1,9,
0.710242,,Surface,1,10,
0.764637,,Surface,1,11,
0.730508,,Surface,1,12,
0.846762,,Surface,1,13,
0.840884,,Surface,1,14,
0.436574,,Surface,1,15,
0.588555,,Surface,1,16,
0.857216,,Surface,1,17,
