
Area
 ==================== 
Area,Unit,Category,Time,ID,
949.396,um^2,Surface,1,0,
1010.78,um^2,Surface,1,1,
961.184,um^2,Surface,1,2,
879.059,um^2,Surface,1,3,
1740.85,um^2,Surface,1,4,
5903.52,um^2,Surface,1,5,
1833.34,um^2,Surface,1,6,
1261.26,um^2,Surface,1,7,
9630.27,um^2,Surface,1,8,
4496.26,um^2,Surface,1,9,
3849.46,um^2,Surface,1,10,
5236.19,um^2,Surface,1,11,
9920.18,um^2,Surface,1,12,
2262.72,um^2,Surface,1,13,
3654.29,um^2,Surface,1,14,
1270.89,um^2,Surface,1,15,
3951.7,um^2,Surface,1,16,
5031.72,um^2,Surface,1,17,
