
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.69471,,Surface,1,0,
0.780958,,Surface,1,1,
0.843584,,Surface,1,2,
0.786291,,Surface,1,3,
0.740928,,Surface,1,4,
0.415707,,Surface,1,5,
0.752691,,Surface,1,6,
0.672327,,Surface,1,7,
0.730788,,Surface,1,8,
0.589667,,Surface,1,9,
0.871347,,Surface,1,10,
0.654745,,Surface,1,11,
0.819139,,Surface,1,12,
0.710277,,Surface,1,13,
0.751662,,Surface,1,14,
0.475527,,Surface,1,15,
0.903195,,Surface,1,16,
0.745483,,Surface,1,17,
0.656995,,Surface,1,18,
0.811576,,Surface,1,19,
0.86378,,Surface,1,20,
