
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
1988.21,um^3,Surface,1,0,
4288.45,um^3,Surface,1,1,
3724.2,um^3,Surface,1,2,
3796.84,um^3,Surface,1,3,
1475.97,um^3,Surface,1,4,
1700.12,um^3,Surface,1,5,
2761.06,um^3,Surface,1,6,
3515.48,um^3,Surface,1,7,
1643.56,um^3,Surface,1,8,
2786.26,um^3,Surface,1,9,
1228.56,um^3,Surface,1,10,
2973.55,um^3,Surface,1,11,
9014.01,um^3,Surface,1,12,
2236.47,um^3,Surface,1,13,
3226.75,um^3,Surface,1,14,
1317.06,um^3,Surface,1,15,
10722.9,um^3,Surface,1,16,
6456.81,um^3,Surface,1,17,
10222.2,um^3,Surface,1,18,
3542.98,um^3,Surface,1,19,
3404.85,um^3,Surface,1,20,
