
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.650069,,Surface,1,0,
0.589376,,Surface,1,1,
0.517425,,Surface,1,2,
0.482063,,Surface,1,3,
0.382303,,Surface,1,4,
0.498981,,Surface,1,5,
0.528411,,Surface,1,6,
0.499597,,Surface,1,7,
0.586683,,Surface,1,8,
0.575997,,Surface,1,9,
0.495139,,Surface,1,10,
0.41656,,Surface,1,11,
0.429645,,Surface,1,12,
0.683924,,Surface,1,13,
0.618679,,Surface,1,14,
0.622555,,Surface,1,15,
0.487087,,Surface,1,16,
0.453412,,Surface,1,17,
0.463384,,Surface,1,18,
0.369788,,Surface,1,19,
0.45082,,Surface,1,20,
