
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.416288,,Surface,1,0,
0.392536,,Surface,1,1,
0.332797,,Surface,1,2,
0.442129,,Surface,1,3,
0.449169,,Surface,1,4,
0.502927,,Surface,1,5,
0.415711,,Surface,1,6,
0.441382,,Surface,1,7,
0.41812,,Surface,1,8,
0.374886,,Surface,1,9,
0.378434,,Surface,1,10,
0.274061,,Surface,1,11,
0.503523,,Surface,1,12,
0.648853,,Surface,1,13,
0.669339,,Surface,1,14,
0.400256,,Surface,1,15,
0.469811,,Surface,1,16,
0.385322,,Surface,1,17,
0.421154,,Surface,1,18,
0.451478,,Surface,1,19,
