
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
390.889,um,Surface,Distance from Origin,1,0,
416.94,um,Surface,Distance from Origin,1,1,
379.121,um,Surface,Distance from Origin,1,2,
328.686,um,Surface,Distance from Origin,1,3,
313.548,um,Surface,Distance from Origin,1,4,
329.987,um,Surface,Distance from Origin,1,5,
270.378,um,Surface,Distance from Origin,1,6,
306.024,um,Surface,Distance from Origin,1,7,
266.353,um,Surface,Distance from Origin,1,8,
262.153,um,Surface,Distance from Origin,1,9,
224.937,um,Surface,Distance from Origin,1,10,
251.54,um,Surface,Distance from Origin,1,11,
179.395,um,Surface,Distance from Origin,1,12,
190.438,um,Surface,Distance from Origin,1,13,
157.642,um,Surface,Distance from Origin,1,14,
32.994,um,Surface,Distance from Origin,1,15,
64.9676,um,Surface,Distance from Origin,1,16,
82.5152,um,Surface,Distance from Origin,1,17,
102.704,um,Surface,Distance from Origin,1,18,
109.086,um,Surface,Distance from Origin,1,19,
