
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
46,,Surface,2,Image 1,1,0,
21,,Surface,2,Image 1,1,1,
14,,Surface,2,Image 1,1,2,
31,,Surface,2,Image 1,1,3,
48,,Surface,2,Image 1,1,4,
45,,Surface,2,Image 1,1,5,
15,,Surface,2,Image 1,1,6,
29,,Surface,2,Image 1,1,7,
22,,Surface,2,Image 1,1,8,
25,,Surface,2,Image 1,1,9,
15,,Surface,2,Image 1,1,10,
27,,Surface,2,Image 1,1,11,
61,,Surface,2,Image 1,1,12,
65,,Surface,2,Image 1,1,13,
50,,Surface,2,Image 1,1,14,
32,,Surface,2,Image 1,1,15,
34,,Surface,2,Image 1,1,16,
56,,Surface,2,Image 1,1,17,
21,,Surface,2,Image 1,1,18,
17,,Surface,2,Image 1,1,19,
