
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.378382,,Surface,1,0,
0.392202,,Surface,1,1,
0.528482,,Surface,1,2,
0.340325,,Surface,1,3,
0.32027,,Surface,1,4,
0.47041,,Surface,1,5,
0.458447,,Surface,1,6,
0.551373,,Surface,1,7,
0.249292,,Surface,1,8,
0.591649,,Surface,1,9,
0.602446,,Surface,1,10,
0.463017,,Surface,1,11,
0.449084,,Surface,1,12,
0.295071,,Surface,1,13,
0.345332,,Surface,1,14,
0.801895,,Surface,1,15,
0.447988,,Surface,1,16,
0.510884,,Surface,1,17,
0.616908,,Surface,1,18,
0.41778,,Surface,1,19,
0.389501,,Surface,1,20,
