
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.385694,,Surface,1,0,
0.178726,,Surface,1,1,
0.288069,,Surface,1,2,
0.109193,,Surface,1,3,
0.048034,,Surface,1,4,
0.457597,,Surface,1,5,
0.0714482,,Surface,1,6,
0.0830854,,Surface,1,7,
0.0674196,,Surface,1,8,
0.219311,,Surface,1,9,
0.139858,,Surface,1,10,
0.0940721,,Surface,1,11,
0.150129,,Surface,1,12,
0.0700564,,Surface,1,13,
0.0778905,,Surface,1,14,
0.335251,,Surface,1,15,
0.0962934,,Surface,1,16,
0.0825031,,Surface,1,17,
0.241878,,Surface,1,18,
0.0955629,,Surface,1,19,
0.0446197,,Surface,1,20,
