
Intensity Sum Ch=8 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.33687e+07,,Surface,8,Image 1,1,0,
1.89534e+08,,Surface,8,Image 1,1,1,
1.14113e+07,,Surface,8,Image 1,1,2,
4.04679e+08,,Surface,8,Image 1,1,3,
5.62141e+07,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
2.42128e+06,,Surface,8,Image 1,1,7,
7.76696e+08,,Surface,8,Image 1,1,8,
8.45642e+07,,Surface,8,Image 1,1,9,
0,,Surface,8,Image 1,1,10,
1.93813e+08,,Surface,8,Image 1,1,11,
1.04947e+07,,Surface,8,Image 1,1,12,
8.17017e+08,,Surface,8,Image 1,1,13,
7.4252e+07,,Surface,8,Image 1,1,14,
2.67203e+06,,Surface,8,Image 1,1,15,
9.02482e+06,,Surface,8,Image 1,1,16,
1.41936e+06,,Surface,8,Image 1,1,17,
6.92932e+06,,Surface,8,Image 1,1,18,
126223,,Surface,8,Image 1,1,19,
3.17852e+06,,Surface,8,Image 1,1,20,
