
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
2923,,Surface,4,Image 1,1,0,
1858,,Surface,4,Image 1,1,1,
3007,,Surface,4,Image 1,1,2,
2608,,Surface,4,Image 1,1,3,
2724,,Surface,4,Image 1,1,4,
3017,,Surface,4,Image 1,1,5,
2881,,Surface,4,Image 1,1,6,
3197,,Surface,4,Image 1,1,7,
1893,,Surface,4,Image 1,1,8,
2993,,Surface,4,Image 1,1,9,
2697,,Surface,4,Image 1,1,10,
2282,,Surface,4,Image 1,1,11,
2951,,Surface,4,Image 1,1,12,
2562,,Surface,4,Image 1,1,13,
2203,,Surface,4,Image 1,1,14,
3001,,Surface,4,Image 1,1,15,
2425,,Surface,4,Image 1,1,16,
2537,,Surface,4,Image 1,1,17,
3496,,Surface,4,Image 1,1,18,
3003,,Surface,4,Image 1,1,19,
2584,,Surface,4,Image 1,1,20,
