
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.27237,,Surface,1,0,
0.611705,,Surface,1,1,
0.46669,,Surface,1,2,
0.801137,,Surface,1,3,
0.175767,,Surface,1,4,
0.497377,,Surface,1,5,
0.167463,,Surface,1,6,
0.491963,,Surface,1,7,
0.240667,,Surface,1,8,
0.318924,,Surface,1,9,
0.645509,,Surface,1,10,
0.845969,,Surface,1,11,
0.236315,,Surface,1,12,
0.416115,,Surface,1,13,
0.435977,,Surface,1,14,
0.291353,,Surface,1,15,
0.324958,,Surface,1,16,
0.163023,,Surface,1,17,
0.509215,,Surface,1,18,
0.746313,,Surface,1,19,
0.276356,,Surface,1,20,
0.478081,,Surface,1,21,
