
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
5455.25,,Surface,3,Image 1,1,0,
3903,,Surface,3,Image 1,1,1,
3757.18,,Surface,3,Image 1,1,2,
5086.06,,Surface,3,Image 1,1,3,
2463.58,,Surface,3,Image 1,1,4,
4588.18,,Surface,3,Image 1,1,5,
4758.44,,Surface,3,Image 1,1,6,
2935.4,,Surface,3,Image 1,1,7,
5182.09,,Surface,3,Image 1,1,8,
4845.84,,Surface,3,Image 1,1,9,
4913.41,,Surface,3,Image 1,1,10,
4756.05,,Surface,3,Image 1,1,11,
4898.1,,Surface,3,Image 1,1,12,
4114.9,,Surface,3,Image 1,1,13,
4443.16,,Surface,3,Image 1,1,14,
5441.75,,Surface,3,Image 1,1,15,
4801.3,,Surface,3,Image 1,1,16,
5136.04,,Surface,3,Image 1,1,17,
5658.82,,Surface,3,Image 1,1,18,
4777.85,,Surface,3,Image 1,1,19,
4624.83,,Surface,3,Image 1,1,20,
4372.89,,Surface,3,Image 1,1,21,
