
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.530904,,Surface,1,0,
0.567894,,Surface,1,1,
0.407126,,Surface,1,2,
0.484667,,Surface,1,3,
0.376476,,Surface,1,4,
0.61535,,Surface,1,5,
0.276886,,Surface,1,6,
0.485243,,Surface,1,7,
0.413718,,Surface,1,8,
0.309799,,Surface,1,9,
0.486925,,Surface,1,10,
0.336316,,Surface,1,11,
0.569761,,Surface,1,12,
0.745003,,Surface,1,13,
0.575986,,Surface,1,14,
0.406924,,Surface,1,15,
0.487934,,Surface,1,16,
0.395393,,Surface,1,17,
0.519905,,Surface,1,18,
0.406239,,Surface,1,19,
0.505431,,Surface,1,20,
0.168719,,Surface,1,21,
