
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.359147,,Surface,1,0,
0.2525,,Surface,1,1,
0.324247,,Surface,1,2,
0.106131,,Surface,1,3,
0.343032,,Surface,1,4,
0.276285,,Surface,1,5,
0.0836533,,Surface,1,6,
0.267409,,Surface,1,7,
0.416677,,Surface,1,8,
0.137682,,Surface,1,9,
0.106382,,Surface,1,10,
0.0388656,,Surface,1,11,
0.630449,,Surface,1,12,
0.314259,,Surface,1,13,
0.292688,,Surface,1,14,
0.174895,,Surface,1,15,
0.332787,,Surface,1,16,
0.190458,,Surface,1,17,
0.350129,,Surface,1,18,
0.0862025,,Surface,1,19,
0.3497,,Surface,1,20,
0.0343463,,Surface,1,21,
