
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
78,,Surface,2,Image 1,1,0,
259,,Surface,2,Image 1,1,1,
146,,Surface,2,Image 1,1,2,
67,,Surface,2,Image 1,1,3,
283,,Surface,2,Image 1,1,4,
59,,Surface,2,Image 1,1,5,
162,,Surface,2,Image 1,1,6,
74,,Surface,2,Image 1,1,7,
59,,Surface,2,Image 1,1,8,
47,,Surface,2,Image 1,1,9,
119,,Surface,2,Image 1,1,10,
86,,Surface,2,Image 1,1,11,
85,,Surface,2,Image 1,1,12,
19,,Surface,2,Image 1,1,13,
61,,Surface,2,Image 1,1,14,
96,,Surface,2,Image 1,1,15,
212,,Surface,2,Image 1,1,16,
111,,Surface,2,Image 1,1,17,
341,,Surface,2,Image 1,1,18,
35,,Surface,2,Image 1,1,19,
32,,Surface,2,Image 1,1,20,
90,,Surface,2,Image 1,1,21,
