
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.34669e+08,,Surface,6,Image 1,1,0,
8.40748e+07,,Surface,6,Image 1,1,1,
2.16496e+07,,Surface,6,Image 1,1,2,
1.01041e+09,,Surface,6,Image 1,1,3,
1.07955e+08,,Surface,6,Image 1,1,4,
6.3405e+07,,Surface,6,Image 1,1,5,
8.89551e+07,,Surface,6,Image 1,1,6,
1.25948e+08,,Surface,6,Image 1,1,7,
5.87953e+07,,Surface,6,Image 1,1,8,
1.00234e+09,,Surface,6,Image 1,1,9,
3.33433e+07,,Surface,6,Image 1,1,10,
2.29416e+08,,Surface,6,Image 1,1,11,
3.97824e+08,,Surface,6,Image 1,1,12,
3.54014e+08,,Surface,6,Image 1,1,13,
5.62581e+07,,Surface,6,Image 1,1,14,
4.66373e+08,,Surface,6,Image 1,1,15,
7.23614e+06,,Surface,6,Image 1,1,16,
