
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
15.9576,um,Surface,Image 1,1,0,
20.7327,um,Surface,Image 1,1,1,
58.8703,um,Surface,Image 1,1,2,
7.26285,um,Surface,Image 1,1,3,
78.5609,um,Surface,Image 1,1,4,
99.4033,um,Surface,Image 1,1,5,
0,um,Surface,Image 1,1,6,
29.0415,um,Surface,Image 1,1,7,
119.016,um,Surface,Image 1,1,8,
75.6893,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
1.67909,um,Surface,Image 1,1,11,
18.6315,um,Surface,Image 1,1,12,
63.5115,um,Surface,Image 1,1,13,
2.49143,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
0.921356,um,Surface,Image 1,1,16,
