
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1468,,Surface,4,Image 1,1,0,
1125,,Surface,4,Image 1,1,1,
2177,,Surface,4,Image 1,1,2,
1847,,Surface,4,Image 1,1,3,
2278,,Surface,4,Image 1,1,4,
1882,,Surface,4,Image 1,1,5,
2058,,Surface,4,Image 1,1,6,
1583,,Surface,4,Image 1,1,7,
1258,,Surface,4,Image 1,1,8,
1449,,Surface,4,Image 1,1,9,
2187,,Surface,4,Image 1,1,10,
2215,,Surface,4,Image 1,1,11,
2015,,Surface,4,Image 1,1,12,
1917,,Surface,4,Image 1,1,13,
2351,,Surface,4,Image 1,1,14,
2287,,Surface,4,Image 1,1,15,
2099,,Surface,4,Image 1,1,16,
