
Area
 ==================== 
Area,Unit,Category,Time,ID,
3003.18,um^2,Surface,1,0,
3087.8,um^2,Surface,1,1,
873.66,um^2,Surface,1,2,
9331.48,um^2,Surface,1,3,
1215.91,um^2,Surface,1,4,
1114.28,um^2,Surface,1,5,
2566.4,um^2,Surface,1,6,
2401.42,um^2,Surface,1,7,
1501.54,um^2,Surface,1,8,
16609.4,um^2,Surface,1,9,
1356.54,um^2,Surface,1,10,
2923.58,um^2,Surface,1,11,
6831.96,um^2,Surface,1,12,
4231.15,um^2,Surface,1,13,
1221.38,um^2,Surface,1,14,
5995.04,um^2,Surface,1,15,
821.854,um^2,Surface,1,16,
