
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
392.361,um,Surface,Distance from Origin,1,0,
322.781,um,Surface,Distance from Origin,1,1,
243.47,um,Surface,Distance from Origin,1,2,
283.092,um,Surface,Distance from Origin,1,3,
195.372,um,Surface,Distance from Origin,1,4,
236.366,um,Surface,Distance from Origin,1,5,
199.114,um,Surface,Distance from Origin,1,6,
179.439,um,Surface,Distance from Origin,1,7,
216.45,um,Surface,Distance from Origin,1,8,
133.36,um,Surface,Distance from Origin,1,9,
128.582,um,Surface,Distance from Origin,1,10,
107.715,um,Surface,Distance from Origin,1,11,
99.2756,um,Surface,Distance from Origin,1,12,
32.4239,um,Surface,Distance from Origin,1,13,
59.8931,um,Surface,Distance from Origin,1,14,
