
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.039066,,Surface,1,0,
0.0943243,,Surface,1,1,
0.110722,,Surface,1,2,
0.250049,,Surface,1,3,
0.378606,,Surface,1,4,
0.0568744,,Surface,1,5,
0.083427,,Surface,1,6,
0.106882,,Surface,1,7,
0.120338,,Surface,1,8,
0.0334062,,Surface,1,9,
0.204595,,Surface,1,10,
0.579067,,Surface,1,11,
0.0605069,,Surface,1,12,
0.0727362,,Surface,1,13,
0.205063,,Surface,1,14,
0.0764221,,Surface,1,15,
0.0627231,,Surface,1,16,
0.0736266,,Surface,1,17,
0.0404879,,Surface,1,18,
