
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3586,,Surface,4,Image 1,1,0,
3529,,Surface,4,Image 1,1,1,
3634,,Surface,4,Image 1,1,2,
3967,,Surface,4,Image 1,1,3,
4008,,Surface,4,Image 1,1,4,
2407,,Surface,4,Image 1,1,5,
2833,,Surface,4,Image 1,1,6,
3230,,Surface,4,Image 1,1,7,
3381,,Surface,4,Image 1,1,8,
3509,,Surface,4,Image 1,1,9,
3226,,Surface,4,Image 1,1,10,
3390,,Surface,4,Image 1,1,11,
3094,,Surface,4,Image 1,1,12,
2644,,Surface,4,Image 1,1,13,
3929,,Surface,4,Image 1,1,14,
3318,,Surface,4,Image 1,1,15,
3648,,Surface,4,Image 1,1,16,
3717,,Surface,4,Image 1,1,17,
3361,,Surface,4,Image 1,1,18,
