
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.0327754,,Surface,1,0,
0.121401,,Surface,1,1,
0.632651,,Surface,1,2,
0.126714,,Surface,1,3,
0.0549535,,Surface,1,4,
0.399098,,Surface,1,5,
0.219798,,Surface,1,6,
0.271897,,Surface,1,7,
0.113934,,Surface,1,8,
0.083031,,Surface,1,9,
0.692214,,Surface,1,10,
0.153342,,Surface,1,11,
0.11179,,Surface,1,12,
0.141191,,Surface,1,13,
0.0784289,,Surface,1,14,
0.114485,,Surface,1,15,
0.458859,,Surface,1,16,
0.204481,,Surface,1,17,
