
Area
 ==================== 
Area,Unit,Category,Time,ID,
44970.6,um^2,Surface,1,0,
3626.33,um^2,Surface,1,1,
1354.28,um^2,Surface,1,2,
9138.17,um^2,Surface,1,3,
9794.07,um^2,Surface,1,4,
1190.22,um^2,Surface,1,5,
2390.41,um^2,Surface,1,6,
1126.23,um^2,Surface,1,7,
2847.54,um^2,Surface,1,8,
1837.35,um^2,Surface,1,9,
1362.85,um^2,Surface,1,10,
3093.26,um^2,Surface,1,11,
3580.99,um^2,Surface,1,12,
5820.74,um^2,Surface,1,13,
2704.47,um^2,Surface,1,14,
13771.6,um^2,Surface,1,15,
7879.01,um^2,Surface,1,16,
1187.78,um^2,Surface,1,17,
