
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
72.104,um,Surface,Image 1,1,0,
22.4305,um,Surface,Image 1,1,1,
24.4925,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
47.5628,um,Surface,Image 1,1,5,
60.8687,um,Surface,Image 1,1,6,
41.7385,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
57.7659,um,Surface,Image 1,1,9,
99.549,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
50.5452,um,Surface,Image 1,1,12,
97.2893,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
7.86792,um,Surface,Image 1,1,15,
23.1953,um,Surface,Image 1,1,16,
52.2824,um,Surface,Image 1,1,17,
