
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.509005,,Surface,1,0,
0.775374,,Surface,1,1,
0.2867,,Surface,1,2,
0.574229,,Surface,1,3,
0.916121,,Surface,1,4,
0.424395,,Surface,1,5,
0.605167,,Surface,1,6,
0.589792,,Surface,1,7,
0.420215,,Surface,1,8,
0.692282,,Surface,1,9,
0.242466,,Surface,1,10,
0.725141,,Surface,1,11,
0.77737,,Surface,1,12,
0.649176,,Surface,1,13,
0.113471,,Surface,1,14,
0.541095,,Surface,1,15,
0.351733,,Surface,1,16,
0.568984,,Surface,1,17,
