
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1644.17,,Surface,3,Image 1,1,0,
2646.21,,Surface,3,Image 1,1,1,
3245.42,,Surface,3,Image 1,1,2,
2451.04,,Surface,3,Image 1,1,3,
3229.86,,Surface,3,Image 1,1,4,
2565.81,,Surface,3,Image 1,1,5,
3227.03,,Surface,3,Image 1,1,6,
2724.85,,Surface,3,Image 1,1,7,
3024.31,,Surface,3,Image 1,1,8,
2979.22,,Surface,3,Image 1,1,9,
1983.25,,Surface,3,Image 1,1,10,
2235.64,,Surface,3,Image 1,1,11,
1964.02,,Surface,3,Image 1,1,12,
1019.14,,Surface,3,Image 1,1,13,
2210.34,,Surface,3,Image 1,1,14,
2435.38,,Surface,3,Image 1,1,15,
5868.52,,Surface,3,Image 1,1,16,
1169.81,,Surface,3,Image 1,1,17,
4555.67,,Surface,3,Image 1,1,18,
2298.76,,Surface,3,Image 1,1,19,
2911.97,,Surface,3,Image 1,1,20,
2523.53,,Surface,3,Image 1,1,21,
2045.14,,Surface,3,Image 1,1,22,
1333.81,,Surface,3,Image 1,1,23,
4275.59,,Surface,3,Image 1,1,24,
