
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.157307,,Surface,1,0,
0.435851,,Surface,1,1,
0.154113,,Surface,1,2,
0.49738,,Surface,1,3,
0.132477,,Surface,1,4,
0.082958,,Surface,1,5,
0.400031,,Surface,1,6,
0.132106,,Surface,1,7,
0.437441,,Surface,1,8,
0.183197,,Surface,1,9,
0.199111,,Surface,1,10,
0.287221,,Surface,1,11,
0.0682877,,Surface,1,12,
0.167493,,Surface,1,13,
0.173768,,Surface,1,14,
0.141595,,Surface,1,15,
0.255937,,Surface,1,16,
0.470096,,Surface,1,17,
0.318443,,Surface,1,18,
0.218207,,Surface,1,19,
0.271124,,Surface,1,20,
0.524236,,Surface,1,21,
0.297328,,Surface,1,22,
0.249266,,Surface,1,23,
0.275065,,Surface,1,24,
