
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
30,,Surface,2,Image 1,1,0,
29,,Surface,2,Image 1,1,1,
19,,Surface,2,Image 1,1,2,
20,,Surface,2,Image 1,1,3,
0,,Surface,2,Image 1,1,4,
2,,Surface,2,Image 1,1,5,
15,,Surface,2,Image 1,1,6,
16,,Surface,2,Image 1,1,7,
0,,Surface,2,Image 1,1,8,
13,,Surface,2,Image 1,1,9,
3,,Surface,2,Image 1,1,10,
31,,Surface,2,Image 1,1,11,
32,,Surface,2,Image 1,1,12,
20,,Surface,2,Image 1,1,13,
44,,Surface,2,Image 1,1,14,
11,,Surface,2,Image 1,1,15,
5,,Surface,2,Image 1,1,16,
47,,Surface,2,Image 1,1,17,
35,,Surface,2,Image 1,1,18,
9,,Surface,2,Image 1,1,19,
13,,Surface,2,Image 1,1,20,
6,,Surface,2,Image 1,1,21,
13,,Surface,2,Image 1,1,22,
24,,Surface,2,Image 1,1,23,
0,,Surface,2,Image 1,1,24,
