
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.375322,,Surface,1,0,
0.430158,,Surface,1,1,
0.65751,,Surface,1,2,
0.337203,,Surface,1,3,
0.63159,,Surface,1,4,
0.732059,,Surface,1,5,
0.450227,,Surface,1,6,
0.807142,,Surface,1,7,
0.329399,,Surface,1,8,
0.716759,,Surface,1,9,
0.568799,,Surface,1,10,
0.534134,,Surface,1,11,
0.533113,,Surface,1,12,
0.676328,,Surface,1,13,
0.656353,,Surface,1,14,
0.321511,,Surface,1,15,
0.593603,,Surface,1,16,
0.283286,,Surface,1,17,
0.429175,,Surface,1,18,
0.654297,,Surface,1,19,
0.554691,,Surface,1,20,
0.178337,,Surface,1,21,
0.380321,,Surface,1,22,
0.623386,,Surface,1,23,
0.58583,,Surface,1,24,
