
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2031.89,,Surface,3,Image 1,1,0,
4405.75,,Surface,3,Image 1,1,1,
3185.59,,Surface,3,Image 1,1,2,
3319.37,,Surface,3,Image 1,1,3,
3541.68,,Surface,3,Image 1,1,4,
2882.5,,Surface,3,Image 1,1,5,
4403.46,,Surface,3,Image 1,1,6,
3437.86,,Surface,3,Image 1,1,7,
2909.35,,Surface,3,Image 1,1,8,
3734.27,,Surface,3,Image 1,1,9,
2548.14,,Surface,3,Image 1,1,10,
2758,,Surface,3,Image 1,1,11,
2477.02,,Surface,3,Image 1,1,12,
1849.79,,Surface,3,Image 1,1,13,
2647.75,,Surface,3,Image 1,1,14,
2372.66,,Surface,3,Image 1,1,15,
5491.61,,Surface,3,Image 1,1,16,
1981.3,,Surface,3,Image 1,1,17,
4322.06,,Surface,3,Image 1,1,18,
3168.59,,Surface,3,Image 1,1,19,
3547.69,,Surface,3,Image 1,1,20,
2890.84,,Surface,3,Image 1,1,21,
2072.96,,Surface,3,Image 1,1,22,
1867.75,,Surface,3,Image 1,1,23,
5608.05,,Surface,3,Image 1,1,24,
