
Shortest Distance to Surfaces Surfaces=Surfaces 4
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
0,,Surface,Surfaces 4,1,0,
0,,Surface,Surfaces 4,1,1,
0,,Surface,Surfaces 4,1,2,
0,,Surface,Surfaces 4,1,3,
0,,Surface,Surfaces 4,1,4,
0,,Surface,Surfaces 4,1,5,
0,,Surface,Surfaces 4,1,6,
0,,Surface,Surfaces 4,1,7,
0,,Surface,Surfaces 4,1,8,
0,,Surface,Surfaces 4,1,9,
0,,Surface,Surfaces 4,1,10,
0,,Surface,Surfaces 4,1,11,
0,,Surface,Surfaces 4,1,12,
0,,Surface,Surfaces 4,1,13,
0,,Surface,Surfaces 4,1,14,
0,,Surface,Surfaces 4,1,15,
0,,Surface,Surfaces 4,1,16,
0,,Surface,Surfaces 4,1,17,
0,,Surface,Surfaces 4,1,18,
0,,Surface,Surfaces 4,1,19,
0,,Surface,Surfaces 4,1,20,
0,,Surface,Surfaces 4,1,21,
0,,Surface,Surfaces 4,1,22,
0,,Surface,Surfaces 4,1,23,
0,,Surface,Surfaces 4,1,24,
