
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
5.11263e+07,,Surface,5,Image 1,1,0,
2.56123e+08,,Surface,5,Image 1,1,1,
6.28023e+07,,Surface,5,Image 1,1,2,
8.03961e+07,,Surface,5,Image 1,1,3,
1.53941e+09,,Surface,5,Image 1,1,4,
1.52209e+09,,Surface,5,Image 1,1,5,
1.36845e+08,,Surface,5,Image 1,1,6,
6.01742e+07,,Surface,5,Image 1,1,7,
1.05989e+09,,Surface,5,Image 1,1,8,
7.02474e+07,,Surface,5,Image 1,1,9,
7.2594e+08,,Surface,5,Image 1,1,10,
2.09304e+08,,Surface,5,Image 1,1,11,
3.46836e+07,,Surface,5,Image 1,1,12,
1.90594e+07,,Surface,5,Image 1,1,13,
3.36079e+07,,Surface,5,Image 1,1,14,
1.21868e+08,,Surface,5,Image 1,1,15,
2.56501e+08,,Surface,5,Image 1,1,16,
3.30941e+07,,Surface,5,Image 1,1,17,
7.37621e+07,,Surface,5,Image 1,1,18,
1.89552e+08,,Surface,5,Image 1,1,19,
7.5984e+07,,Surface,5,Image 1,1,20,
1.18612e+08,,Surface,5,Image 1,1,21,
4.68598e+07,,Surface,5,Image 1,1,22,
3.15686e+07,,Surface,5,Image 1,1,23,
1.57284e+08,,Surface,5,Image 1,1,24,
