
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
17.2963,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
0.911346,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
32.1031,um,Surface,Image 1,1,5,
28.5968,um,Surface,Image 1,1,6,
93.5459,um,Surface,Image 1,1,7,
25.2399,um,Surface,Image 1,1,8,
67.3184,um,Surface,Image 1,1,9,
11.0841,um,Surface,Image 1,1,10,
79.3838,um,Surface,Image 1,1,11,
136.716,um,Surface,Image 1,1,12,
116.793,um,Surface,Image 1,1,13,
131.498,um,Surface,Image 1,1,14,
42.1757,um,Surface,Image 1,1,15,
0,um,Surface,Image 1,1,16,
66.5612,um,Surface,Image 1,1,17,
16.6996,um,Surface,Image 1,1,18,
39.8511,um,Surface,Image 1,1,19,
40.3341,um,Surface,Image 1,1,20,
64.6354,um,Surface,Image 1,1,21,
95.1987,um,Surface,Image 1,1,22,
0,um,Surface,Image 1,1,23,
24.8889,um,Surface,Image 1,1,24,
