
Area
 ==================== 
Area,Unit,Category,Time,ID,
2683.05,um^2,Surface,1,0,
1412.07,um^2,Surface,1,1,
1759.37,um^2,Surface,1,2,
1197.85,um^2,Surface,1,3,
10345.6,um^2,Surface,1,4,
12624.4,um^2,Surface,1,5,
970.883,um^2,Surface,1,6,
893.842,um^2,Surface,1,7,
13079.2,um^2,Surface,1,8,
1388.57,um^2,Surface,1,9,
10366.9,um^2,Surface,1,10,
3953.05,um^2,Surface,1,11,
1463.69,um^2,Surface,1,12,
1199.6,um^2,Surface,1,13,
823.901,um^2,Surface,1,14,
5120.3,um^2,Surface,1,15,
2353.97,um^2,Surface,1,16,
1149.28,um^2,Surface,1,17,
1588.92,um^2,Surface,1,18,
2712.44,um^2,Surface,1,19,
1059.45,um^2,Surface,1,20,
2854.3,um^2,Surface,1,21,
2394.54,um^2,Surface,1,22,
2810.79,um^2,Surface,1,23,
1617.89,um^2,Surface,1,24,
