
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
479.919,um,Surface,Distance from Origin,1,0,
445.551,um,Surface,Distance from Origin,1,1,
426.376,um,Surface,Distance from Origin,1,2,
405.509,um,Surface,Distance from Origin,1,3,
416.728,um,Surface,Distance from Origin,1,4,
380.012,um,Surface,Distance from Origin,1,5,
349.632,um,Surface,Distance from Origin,1,6,
325.783,um,Surface,Distance from Origin,1,7,
353.396,um,Surface,Distance from Origin,1,8,
324.983,um,Surface,Distance from Origin,1,9,
334.878,um,Surface,Distance from Origin,1,10,
295.679,um,Surface,Distance from Origin,1,11,
280.229,um,Surface,Distance from Origin,1,12,
259.31,um,Surface,Distance from Origin,1,13,
216.74,um,Surface,Distance from Origin,1,14,
268.953,um,Surface,Distance from Origin,1,15,
280.89,um,Surface,Distance from Origin,1,16,
213.295,um,Surface,Distance from Origin,1,17,
247.986,um,Surface,Distance from Origin,1,18,
212.492,um,Surface,Distance from Origin,1,19,
170.379,um,Surface,Distance from Origin,1,20,
171.652,um,Surface,Distance from Origin,1,21,
165.743,um,Surface,Distance from Origin,1,22,
181.015,um,Surface,Distance from Origin,1,23,
63.0625,um,Surface,Distance from Origin,1,24,
