
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
330,,Surface,3,Image 1,1,0,
409,,Surface,3,Image 1,1,1,
437,,Surface,3,Image 1,1,2,
710,,Surface,3,Image 1,1,3,
487,,Surface,3,Image 1,1,4,
346,,Surface,3,Image 1,1,5,
562,,Surface,3,Image 1,1,6,
243,,Surface,3,Image 1,1,7,
378,,Surface,3,Image 1,1,8,
552,,Surface,3,Image 1,1,9,
282,,Surface,3,Image 1,1,10,
377,,Surface,3,Image 1,1,11,
141,,Surface,3,Image 1,1,12,
286,,Surface,3,Image 1,1,13,
435,,Surface,3,Image 1,1,14,
394,,Surface,3,Image 1,1,15,
396,,Surface,3,Image 1,1,16,
343,,Surface,3,Image 1,1,17,
482,,Surface,3,Image 1,1,18,
324,,Surface,3,Image 1,1,19,
229,,Surface,3,Image 1,1,20,
605,,Surface,3,Image 1,1,21,
570,,Surface,3,Image 1,1,22,
429,,Surface,3,Image 1,1,23,
404,,Surface,3,Image 1,1,24,
