
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.705631,,Surface,1,0,
0.37534,,Surface,1,1,
0.395659,,Surface,1,2,
0.592368,,Surface,1,3,
0.526694,,Surface,1,4,
0.629727,,Surface,1,5,
0.366406,,Surface,1,6,
0.665319,,Surface,1,7,
0.461202,,Surface,1,8,
0.684022,,Surface,1,9,
0.648415,,Surface,1,10,
0.585516,,Surface,1,11,
0.162064,,Surface,1,12,
0.472497,,Surface,1,13,
0.372772,,Surface,1,14,
0.664423,,Surface,1,15,
0.824471,,Surface,1,16,
0.605543,,Surface,1,17,
0.661201,,Surface,1,18,
0.455889,,Surface,1,19,
0.125845,,Surface,1,20,
0.499536,,Surface,1,21,
0.398611,,Surface,1,22,
0.685231,,Surface,1,23,
0.485774,,Surface,1,24,
